,City,Country,Date,Temperature,Humidity,Clouds,Wind_Speed,Latitude,Longitude
115,Christiana,ZA,2018-12-21 08:53:10,95.51659999999998,12,0,6.46,-27.91,25.16
116,Chuka,KE,2018-12-21 08:53:11,74.59160000000003,70,8,3.16,-0.33,37.65
117,Chumikan,RU,2018-12-21 08:53:11,-3.7083999999999833,77,8,3.21,54.72,135.31
118,Chute-aux-Outardes,CA,2018-12-21 08:00:00,30.199999999999932,86,90,9.3,49.12,-68.38
119,Chuy,UY,2018-12-21 08:53:11,69.73160000000001,100,92,3.36,-33.69,-53.46
120,Cidreira,BR,2018-12-21 08:53:11,77.69659999999993,100,48,2.81,-30.17,-50.22
121,Ciudad Bolivar,VE,2018-12-21 08:53:12,76.6166,87,80,3.56,8.12,-63.55
122,Clyde River,CA,2018-12-21 08:00:00,-14.800000000000011,75,1,2.1,70.47,-68.59
123,Cockburn Town,TC,2018-12-21 08:53:13,80.30660000000006,98,0,8.16,21.46,-71.14
124,Cocobeach,GA,2018-12-21 08:30:00,84.19999999999999,79,20,3.1,1.01,9.58
125,Codrington,AU,2018-12-21 08:28:00,73.39999999999992,88,75,3.1,-28.95,153.24
126,College,US,2018-12-21 07:58:00,-16.060000000000002,75,1,1.21,64.86,-147.8
127,Constitucion,MX,2018-12-21 07:45:00,21.199999999999932,79,5,1.5,23.99,-104.67
128,Coos Bay,US,2018-12-21 07:56:00,40.99999999999994,100,90,3.1,43.37,-124.22
129,Cordoba,CO,2018-12-21 08:53:14,66.08660000000003,48,20,0.31,5.59,-73.79
130,Corrientes,AR,2018-12-21 08:00:00,75.19999999999999,88,90,5.1,-27.47,-58.83
131,Coxim,BR,2018-12-21 08:53:14,93.4916,63,0,2.51,-18.5,-54.75
132,Creel,MX,2018-12-21 08:53:14,24.6866,61,0,0.86,27.75,-107.63
133,Culaman,PH,2018-12-21 08:53:14,73.2416,100,80,1.21,5.96,125.66
134,Cururupu,BR,2018-12-21 08:53:14,85.43659999999994,75,24,4.36,-1.82,-44.87
135,Dalby,AU,2018-12-21 08:00:00,73.39999999999992,88,40,2.1,-27.18,151.26
136,Dali,CN,2018-12-21 08:53:15,43.09160000000003,86,0,1.41,25.6,100.24
137,Dalvik,SE,2018-12-21 08:20:00,28.399999999999977,100,75,4.1,57.79,14.13
138,Daru,SL,2018-12-21 08:53:15,95.56159999999994,31,0,3.41,7.99,-10.85
139,Dedza,MW,2018-12-21 08:53:15,72.29659999999996,78,64,2.21,-14.38,34.33
140,Dengzhou,CN,2018-12-21 08:53:15,47.68160000000006,74,92,4.46,32.69,112.08
141,Deputatskiy,RU,2018-12-21 08:53:16,-34.9384,0,32,1.36,69.3,139.9
142,Dicabisagan,PH,2018-12-21 08:53:16,73.06159999999994,100,92,2.76,17.08,122.42
143,Dikson,RU,2018-12-21 08:53:16,-13.383399999999995,100,0,1.21,73.51,80.55
144,Dingle,PH,2018-12-21 08:53:16,74.3666,99,88,2.81,11.0,122.67
145,Dolores,UY,2018-12-21 08:53:17,77.83160000000004,80,0,5.01,-33.53,-58.22
146,Dormidontovka,RU,2018-12-21 08:53:17,1.4215999999999553,61,32,1.21,47.77,134.91
147,Dukat,RS,2018-12-21 08:53:17,32.741600000000005,94,48,0.86,42.44,22.31
148,Durgeli,RU,2018-12-21 08:30:00,40.99999999999994,93,90,3.0,42.67,47.29
149,Dutse,NG,2018-12-21 08:53:17,83.3666,29,32,4.36,11.76,9.34
